n_components,k,gamma,mmd_before,mmd_after,baseline_accuracy,adapted_accuracy
10,1,0.5,0.17267434832962786,0.03979196195986273,0.5407407407407407,0.3851851851851852
20,1,0.5,0.0914450869925045,0.02650732103120397,0.6185185185185185,0.5111111111111111
30,1,0.5,0.06295365539537477,0.021134651688381967,0.6240740740740741,0.5703703703703704
40,1,0.5,0.05291984197052316,0.018878457843591753,0.6351851851851852,0.5703703703703704
50,1,0.5,0.04708949206585746,0.017853146397148474,0.6277777777777778,0.5666666666666667
